name,description,batch,team_size,stage,top_company,website,reachability_label
Trigo,Rent verification API for landlords and lenders,Winter 2023,4.0,Early,False,https://trigodata.com/,
Flai,We Bring Customers to Your Dealership,Summer 2025,15.0,Early,False,https://www.useflai.com/,
Human Archive,Multimodal data provider for robotics and world modeling,Winter 2026,4.0,Early,False,https://www.humanarchive.ai/,
Asimov,Real-world human movement data for humanoid robots,Winter 2026,3.0,Early,False,https://tryasimov.ai/,
Waza,B2B payments platform for emerging markets.,Winter 2023,28.0,Early,False,https://waza.co/,
Village Labs,Helping America's businesses become employee owned,Summer 2024,2.0,Early,False,https://villagelabs.app/,
Mandel AI,AI Supply Chain Coordinator,Summer 2023,2.0,Early,False,https://www.mandel.ai/,
Alter,Secure access control and authorization platform for agent workflows,Summer 2025,2.0,Early,False,https://alterauth.com,
Inviscid AI,Real-time Physics Simulations for Industrial Facilities & Data Centers,Winter 2026,2.0,Early,False,https://inviscidai.com/,
Eos AI,Autonomous OS for healthcare,Winter 2026,2.0,Early,False,https://www.helloeos.ai/,
Retape,AI workers for debt settlement,Winter 2023,3.0,Early,False,https://www.retape.ai/,
Datacurve,Frontier coding data for training and evaluating LLMs,Winter 2024,4.0,Growth,False,https://datacurve.ai/,
EdgeTrace,Describe It. Find It. Act On It.,Winter 2024,4.0,Early,False,https://edgetrace.ai,
Affinity,A compliance training platform built for regulated industries.,Summer 2023,2.0,Early,False,https://itsaffinity.com,
RunLocal AI,The first AI agent for optimizing ML model inference on edge hardware,Summer 2024,3.0,Early,False,https://runlocal.ai,
Cardinal Gray,Automating lenders' interactions with the DMV,Summer 2023,6.0,Early,False,https://www.cardinalgray.com/,
Corgi Insurance,Corgi is building an AI financial infrastructure company,Summer 2024,100.0,Growth,False,https://corgi.com,
Apoxy,Simpler and cheaper multi-cloud and cross-platform deployments.,Summer 2023,2.0,Early,False,https://apoxy.dev,
Mercoa,AI Agent for Billpay platforms to pay invoices with virtual cards,Winter 2023,2.0,Early,False,http://mercoa.com,
Littio,Dollar banking for people in Latin America,Winter 2023,37.0,Early,False,https://www.littio.co/,
Guide Labs,Interpretable AI models and agents,Winter 2024,9.0,Early,False,https://www.guidelabs.ai/,
14.ai,AI engine powering autonomous brands starting with gloglo.com,Winter 2024,3.0,Early,False,https://14.ai,
Chasi,AI Revenue Engine for the Equipment Industry ,Winter 2026,2.0,Early,False,https://chasi.ai/,
F2,The AI platform for private markets investors,Summer 2025,15.0,Early,False,http://f2.ai,
Cedana,"Fast, reliable, reproducible AI with GPU live migration",Summer 2023,5.0,Early,False,https://cedana.ai,
Lexius,AI for Corporate Security Cameras,Winter 2026,3.0,Early,False,https://www.lexius.ai,
Humoniq,AI-Native BPO for travel & transport,Summer 2025,6.0,Early,False,https://humoniq.ai,
Sage AI,"Your self-generating, self-maintaining code knowledge base.",Winter 2023,2.0,Early,False,https://sage-ai.dev,
MantleBio,Transform scientific data into discoveries,Summer 2023,7.0,Early,False,https://www.mantlebio.com,
Upstream,An email client that feels human and fun,Summer 2023,7.0,Early,False,https://www.upstream.do/,
Strada,AI agents that run insurance operations,Summer 2023,18.0,Early,False,https://www.getstrada.com/,
Lifelike,,Summer 2023,2.0,Early,False,https://lifelike.app/,
Latent,Medical language models to automate healthcare operations,Winter 2023,50.0,Early,False,https://latenthealth.com,
burnt,Agentic Operating System for Food Supply Chain,Summer 2025,3.0,Early,False,https://getburnt.ai/,
Button Computer,Button is the wearable AI that can talk.,Winter 2026,1.0,Early,False,https://buttoncomputer.com,
Feanix Biotechnologies,Farm Genetics Made Easy - Using DNA and Software,Summer 2023,5.0,Early,False,https://www.feanixbio.com/,
Alara,Procurement Platform for Dental Offices,Summer 2025,0.0,Early,False,http://alaradental.com,
Osmosis,Reinforcement Learning (RL) for AI Agents,Winter 2025,6.0,Early,False,https://osmosis.ai/,
kapa.ai,The fastest way to build AI assistants on technical content,Summer 2023,22.0,Early,False,https://www.kapa.ai,
Verne Robotics,AI models that teach robots new skills in hours,Summer 2025,6.0,Early,False,https://vernerobotics.com/,
Lume,Speed up customer implementation with AI,Winter 2023,5.0,Early,False,https://www.lume.ai,
