name,description,batch,team_size_bucket,is_hiring,industries,website,reachability_label
Sonia,"Validated mental health support in your pocket, anytime. ",Winter 2024,6-15,FALSE,"Healthcare, Consumer Health and Wellness",https://soniahealth.com,0
Guardian RF,Drone detection for US defense and national security,Summer 2024,6-15,TRUE,"Industrials, Drones",https://guardianrf.com/,0
Fort,Strength Tracking Wearable,Winter 2026,1-5,TRUE,"Consumer, Consumer Electronics",https://fort.cx,0
Lark,The E2E testing layer for AI-driven development,Summer 2025,1-5,FALSE,"B2B, Engineering, Product and Design",https://getlark.ai/,1
Ubicloud,Open source alternative to AWS,Winter 2024,6-15,TRUE,"B2B, Infrastructure",https://www.ubicloud.com,1
Knowlify,The AI Explainer Video Maker,Summer 2025,6-15,FALSE,B2B,https://www.knowlify.com/,1
Clearspace,"Less screen time, more life.",Winter 2023,6-15,FALSE,Consumer,https://clearspace.org,1
Clearly AI,Automate security and privacy reviews,Summer 2024,6-15,TRUE,"B2B, Security",https://clearly-ai.com,1
Oma Care,Get paid for taking care of your parents.,Winter 2024,1-5,FALSE,"Healthcare, Healthcare Services",https://www.omacare.com,0
Milio,B2B-2C real-time account to account payments,Winter 2023,16-30,FALSE,Fintech,http://www.miliopay.com,0
Vista Power,Batteries and solar for $0 upfront to help businesses save money,Winter 2024,1-5,FALSE,"Industrials, Energy",https://vistapower.com,0
MathDash,Learning Platform for Math Competitions,Winter 2024,1-5,FALSE,Education,https://mathdash.com,1
Orbital Operations,High Thrust Space Vehicles for Satellite Defense,Winter 2025,1-5,TRUE,"Industrials, Aviation and Space",https://www.orbitalops.tech/,0
Leaping,Automate bug resolution,Winter 2024,1-5,FALSE,"B2B, Engineering, Product and Design",https://www.leaping.io/,1
Pave Robotics,Robots that repair roads,Winter 2025,1-5,TRUE,"Industrials, Manufacturing and Robotics",https://pave-robotics.com,0
BootLoop,"Firmware in minutes, not months - rigorously tested on real hardware",Summer 2025,1-5,TRUE,"B2B, Engineering, Product and Design",https://bootloop.ai/,1
Affinity,A compliance training platform built for regulated industries.,Summer 2023,1-5,FALSE,B2B,https://itsaffinity.com,1
Lucidic AI,AI Agent Training via Simulations,Winter 2025,1-5,FALSE,B2B,https://lucidic.ai,1
Wayco,AI operator for medlegal cases,Winter 2026,1-5,TRUE,"B2B, Infrastructure",https://wayco.ai,1
Empirical Health,Don't die of heart disease. Empirical is the first AI-native heart…,Summer 2023,1-5,TRUE,"Healthcare, Consumer Health and Wellness",https://empirical.health,1
BetterBasket,Smart grocery pricing with AI,Winter 2024,1-5,TRUE,"B2B, Analytics",http://www.betterbasket.com,1
SpotPay,Stablecoin Global Bank Account,Winter 2026,1-5,FALSE,"Fintech, Consumer Finance",https://www.spotpay.ai/,1
Obento Health,CRM Co-Pilot for Medtech Sales,Summer 2023,1-5,FALSE,"Healthcare, Medical Devices",https://www.getobento.com,0
Kura AI,New State of the Art for Browser Agents,Summer 2024,1-5,FALSE,B2B,https://trykura.com,1
Rubbrband,The creative agency,Winter 2023,1-5,TRUE,"Consumer, Content",https://rubbrband.com,1
Bubble Lab,"Prompt once, automate forever.",Winter 2026,1-5,FALSE,"B2B, Operations",https://bubblelab.ai/,1
Opennote,The notebook that thinks with you.,Summer 2025,1-5,FALSE,Consumer,https://opennote.com,0
"Diode Computers, Inc.",Automate circuit board design using AI,Summer 2024,1-5,TRUE,"B2B, Engineering, Product and Design",https://diode.computer,1
Basalt,Constellations as a Service,Winter 2024,1-5,FALSE,"Industrials, Aviation and Space",https://basalt.space/,0
Trayd,A construction payroll platform designed for same-day pay.,Summer 2023,16-30,TRUE,"B2B, Finance and Accounting",https://www.buildtrayd.com/,0
"Argon AI, Inc.",AI for Pharma Intelligence,Winter 2024,1-5,FALSE,Healthcare,https://www.argon-ai.com/,1
Healia,Modern health insurance for dual income families,Winter 2024,6-15,TRUE,"Fintech, Insurance",https://www.healiahealth.com/,1
Parley,"Automating flat-fee legal work, starting with work visas + green cards",Summer 2024,1-5,FALSE,"B2B, Legal",https://parley.so,1
InspectMind AI,AI agent for construction drawings review,Winter 2024,1-5,TRUE,"Real Estate and Construction, Construction",https://www.inspectmind.ai,1
"Sterling Labs, Inc",AI For Court Reporting,Summer 2024,1-5,FALSE,"Consumer, Content",https://www.drafttherecord.com/,1
ideate.xyz,ideate.xyz is an AI-powered 3D art suite on the web,Summer 2024,1-5,FALSE,"B2B, Engineering, Product and Design",https://ideate.xyz,1
Subtrace,Zero code network tracer,Winter 2025,1-5,FALSE,"B2B, Engineering, Product and Design",https://subtrace.dev,1
Dioxus Labs,"Web, Desktop, and Mobile apps with one codebase in Rust",Summer 2023,1-5,TRUE,"B2B, Engineering, Product and Design",https://dioxuslabs.com,1
Corgi Insurance,Corgi is building an AI financial infrastructure company,Summer 2024,30+,TRUE,"Fintech, Insurance",https://corgi.com,0
10x,AI Sales Teams for Dental Practices,Winter 2025,1-5,TRUE,Healthcare,https://www.10xdental.com/,1
Zettascale,Energy efficient chips for AI,Summer 2024,1-5,TRUE,Industrials,https://zscc.ai,0
Minimal AI,AI Agents for E-commerce Customer Support,Summer 2025,1-5,FALSE,B2B,https://gominimal.ai/,1
